BinStart_um,BinEnd_um,Frequency
7.10878875270173,74.636915010196,184
74.636915010196,142.16504126769,110
142.16504126769,209.693167525185,59
209.693167525185,277.221293782679,31
277.221293782679,344.749420040173,11
344.749420040173,412.277546297667,7
614.86192507015,682.390051327645,3
412.277546297667,479.805672555162,2
479.805672555162,547.333798812656,2
952.502556357622,1020.03068261512,1
